Time [s],Power [W]
1.2008380889892578,82.0
1.2286839485168457,82.0
1.265186071395874,82.0
1.2964489459991455,82.0
1.3296821117401123,82.0
1.3604450225830078,82.0
1.3947479724884033,82.0
1.426887035369873,82.0
1.4598281383514404,82.0
1.4958701133728027,82.0
1.5292599201202393,82.0
1.59981107711792,82.0
1.6074140071868896,82.0
1.62888503074646,82.0
1.6586940288543701,82.0
1.6959359645843506,82.0
1.7284669876098633,82.0
1.7595410346984863,82.0
1.7945799827575684,82.0
1.827652931213379,82.0
1.8596389293670654,82.0
1.8965339660644531,82.0
1.9274449348449707,82.0
1.9599320888519287,82.0
1.9954619407653809,82.0
2.0290579795837402,82.0
2.060002088546753,82.0
2.094633102416992,82.0
2.127929925918579,82.0
2.1613709926605225,82.0
2.1969449520111084,82.0
2.2280049324035645,82.0
2.2586560249328613,82.0
2.296060085296631,82.0
2.3270859718322754,82.0
2.358647108078003,82.0
2.3946480751037598,82.0
2.4275259971618652,82.0
2.458991050720215,82.0
2.495408058166504,82.0
2.526339054107666,82.0
2.560192108154297,82.0
2.5945451259613037,82.0
2.627458095550537,82.0
2.6587319374084473,82.0
2.6908271312713623,82.0
2.7265169620513916,82.0
2.759765148162842,82.0
2.7912371158599854,82.0
2.8275671005249023,82.0
2.85910701751709,82.0
2.8955891132354736,82.0
2.9263710975646973,82.0
2.958807945251465,82.0
2.9908270835876465,82.0
3.0264689922332764,82.0
3.0594711303710938,82.0
3.091031074523926,82.0
3.1271259784698486,82.0
3.1591780185699463,82.0
3.1905391216278076,82.0
3.2282729148864746,82.0
3.2599480152130127,82.0
3.2923290729522705,82.0
3.3286170959472656,82.0
3.3599071502685547,82.0
3.390871047973633,82.0
3.4275970458984375,82.0
3.4596221446990967,82.0
3.4910521507263184,82.0
3.526780128479004,82.0
3.6284549236297607,818.7
3.6586620807647705,81.7
3.690855026245117,81.7
3.7267110347747803,81.7
3.7608940601348877,81.7
3.792809009552002,81.7
3.8276960849761963,81.7
3.8587520122528076,81.7
3.890542984008789,81.7
3.9229979515075684,81.7
3.959857940673828,81.7
3.991158962249756,81.7
4.022525072097778,81.7
4.058589935302734,81.7
4.091422080993652,81.7
4.12351393699646,81.7
4.158981084823608,81.7
4.191236972808838,81.7
4.224797010421753,81.7
4.2592151165008545,81.7
4.290964126586914,81.7
4.324209928512573,81.7
4.359377145767212,81.7
4.3906569480896,81.7
4.424792051315308,81.7
4.461158037185669,81.7
4.490783929824829,81.7
4.5228800773620605,81.7
4.559514045715332,81.7
4.592138051986694,81.7
4.62355899810791,81.7
4.6588311195373535,81.7
4.693217992782593,81.7
4.724246978759766,81.7
4.75886607170105,81.7
4.7909159660339355,81.7
4.82285213470459,81.7
4.86011815071106,81.7
4.891072034835815,81.7
4.923720121383667,81.7
4.958862066268921,81.7
4.991284132003784,81.7
5.02386212348938,81.7
5.090641975402832,81.9
5.122683048248291,81.5
5.15864109992981,81.5
5.190506935119629,81.5
5.222718954086304,81.5
5.254734992980957,81.5
5.290874004364014,81.5
5.322582960128784,81.5
5.354496955871582,81.5
5.391646146774292,81.5
5.423032999038696,81.5
5.456093072891235,81.5
5.49180793762207,81.5
5.522683143615723,81.5
5.554541110992432,81.5
5.59148907661438,81.5
5.623028993606567,81.5
5.654876947402954,81.5
5.691080093383789,81.5
5.724812984466553,81.5
5.756279945373535,81.5
5.790869951248169,81.5
5.8231470584869385,81.5
5.855157136917114,81.5
5.890773057937622,81.5
5.92283296585083,81.5
5.954767942428589,81.5
5.991668939590454,81.5
6.022716999053955,81.5
6.054460048675537,81.5
6.090487003326416,81.5
6.123244047164917,81.5
6.154973983764648,81.5
6.1907799243927,81.5
6.224014043807983,81.5
6.257635116577148,81.5
6.292220115661621,81.5
6.324020147323608,81.5
6.356744050979614,81.5
6.393805980682373,81.5
6.42481803894043,81.5
6.454570055007935,81.5
6.486818075180054,81.5
6.52495002746582,81.5
6.555386066436768,81.9
6.586457967758179,81.9
6.623903036117554,81.9
6.654629945755005,81.7
6.686563014984131,81.7
6.722815990447998,81.7
6.756087064743042,81.7
6.788159132003784,81.7
6.826973915100098,81.7
6.856212139129639,81.7
6.888170957565308,81.7
6.9241650104522705,81.7
6.957489967346191,81.7
6.988282918930054,81.7
7.024080038070679,81.7
7.056162118911743,81.7
7.089879035949707,81.7
7.124197959899902,81.7
7.156124114990234,81.7
7.188575983047485,81.7
7.225212097167969,81.7
7.256457090377808,81.7
7.288490056991577,81.7
7.325150966644287,81.7
7.357360124588013,81.7
7.3884501457214355,81.7
7.425221920013428,81.7
7.457904100418091,81.7
7.489283084869385,81.7
7.524425983428955,81.7
7.557667016983032,81.7
7.5881640911102295,81.7
7.624297142028809,81.7
7.6566691398620605,81.7
7.688416004180908,81.7
7.72455906867981,81.7
7.756261110305786,81.7
7.788250923156738,81.7
7.820346117019653,81.7
7.854290962219238,81.7
7.886650085449219,81.7
7.918735980987549,81.7
7.954385995864868,81.7
7.987112045288086,81.7
8.018542051315308,81.7
8.089174032211304,81.8
8.12049913406372,81.8
8.155070066452026,81.8
8.187562942504883,81.8
8.218549013137817,81.8
8.254768133163452,81.8
8.288190126419067,81.8
8.318540096282959,81.8
8.35460615158081,81.8
8.387494087219238,81.8
8.41883111000061,81.8
8.455023050308228,81.8
8.48664402961731,81.8
8.519359111785889,81.8
8.554857015609741,81.8
8.586774110794067,81.8
8.618539094924927,81.8
8.655288934707642,81.8
8.687132120132446,81.8
8.71880292892456,81.8
8.755959033966064,81.8
8.787401914596558,81.8
8.82008409500122,81.8
8.854706048965454,81.8
8.88808012008667,81.8
8.918967962265015,81.8
8.95625114440918,81.8
8.986583948135376,81.8
9.019374132156372,81.8
9.051929950714111,81.8
9.087598085403442,81.8
9.118660926818848,81.8
9.152729034423828,81.8
9.18713903427124,81.8
9.21903109550476,81.8
9.250546932220459,81.8
9.288003921508789,81.8
9.319863080978394,81.8
9.350561141967773,81.8
9.386600971221924,81.8
9.420239925384521,81.8
9.450762033462524,81.8
9.487112045288086,81.8
9.519366979598999,81.8
9.55155611038208,81.8
9.5868239402771,81.8
9.620321035385132,81.8
9.652271032333374,81.6
9.689643144607544,81.6
9.719039916992188,81.6
9.751235961914062,81.6
9.788666009902954,81.6
9.818798065185547,81.6
9.85059905052185,81.6
9.887395143508911,81.6
9.918642044067383,81.6
9.950637102127075,81.6
9.986511945724487,81.6
10.018594980239868,81.6
10.051553964614868,81.6
10.087733030319214,81.6
10.11889910697937,81.6
10.152698993682861,81.6
10.187039136886597,81.6
10.219624042510986,81.6
10.251343011856079,81.6
10.282402992248535,81.6
10.318369150161743,81.6
10.3522469997406,81.6
10.385694026947021,81.6
10.421525955200195,81.6
10.45215106010437,81.6
10.484161138534546,81.6
10.522125959396362,81.6
10.552314043045044,81.6
10.584136009216309,81.6
10.621110916137695,81.6
10.652456998825073,81.6
10.684008121490479,81.6
10.720109939575195,81.6
10.752382040023804,81.6
10.78491997718811,81.6
10.820029973983765,81.6
10.852169036865234,81.6
10.883366107940674,81.6
10.922824144363403,81.6
10.952528953552246,81.6
10.984117984771729,81.6
11.021026134490967,81.6
11.054747104644775,81.6
11.084337949752808,184.8
11.152352094650269,124.4
11.182820081710815,124.4
11.219125986099243,124.4
11.251002073287964,124.4
11.283066034317017,124.4
11.318511009216309,124.4
11.351372003555298,124.4
11.382905006408691,124.4
11.418395042419434,124.4
11.450384140014648,124.4
11.483041048049927,124.4
11.518829107284546,124.4
11.550873041152954,124.4
11.582735061645508,124.4
11.614748001098633,124.4
11.651051044464111,124.4
11.682456970214844,124.4
11.714370965957642,124.4
11.752135038375854,124.4
11.783106088638306,124.4
11.81500792503357,124.4
11.850631952285767,124.4
11.882714986801147,124.4
11.914644956588745,124.4
11.951513051986694,124.4
11.982717037200928,124.4
12.014784097671509,124.4
12.05147910118103,124.4
12.082687139511108,124.4
12.114747047424316,124.4
12.150908946990967,124.4
12.184044122695923,124.4
12.214725017547607,124.4
12.250739097595215,124.4
12.282902002334595,124.4
12.31489109992981,124.4
12.352433919906616,124.4
12.385115146636963,124.4
12.416551113128662,124.4
12.45061206817627,124.4
12.482895135879517,124.4
12.514697074890137,124.4
12.550555944442749,124.4
12.614614009857178,288.9
12.651596069335938,206.3
12.682697057723999,206.3
12.715558052062988,206.3
12.751621961593628,206.3
12.783528089523315,206.3
12.814561128616333,206.3
12.850492000579834,206.3
12.884099960327148,206.3
12.915099143981934,206.3
12.947978973388672,206.3
12.982686042785645,206.3
13.016570091247559,206.3
13.046591997146606,206.3
13.083266973495483,206.3
13.11511492729187,206.3
13.147500991821289,206.3
13.182771921157837,206.3
13.214653015136719,206.3
13.24783706665039,206.3
13.283453941345215,206.3
13.314589977264404,206.3
13.347098112106323,206.3
13.384114980697632,206.3
13.415662050247192,206.3
13.446831941604614,206.3
13.483498096466064,206.3
13.51587200164795,206.3
13.547747135162354,206.3
13.582890033721924,206.3
13.616279125213623,206.3
13.648340940475464,206.3
13.68467903137207,206.3
13.714724063873291,206.3
13.74661111831665,206.3
13.784560918807983,206.3
13.815021991729736,206.3
13.846971988677979,206.3
13.88304615020752,206.3
13.91468596458435,206.3
13.947204113006592,206.3
13.983094930648804,206.3
14.014719009399414,206.3
14.046625137329102,206.3
14.083368062973022,208.9
14.14704704284668,217.4
14.1791090965271,217.4
14.21499514579773,217.4
14.247024059295654,217.4
14.31489610671997,217.4
14.346898078918457,217.4
14.379034042358398,217.4
14.41458797454834,217.4
14.44752311706543,217.4
14.514529943466187,217.4
14.546556949615479,217.4
14.57921814918518,217.4
14.615754127502441,217.4
14.64709997177124,217.4
14.714632987976074,217.4
14.748224020004272,217.4
14.781598091125488,217.4
14.817255973815918,217.4
14.8471040725708,217.4
14.879327058792114,217.4
14.920062065124512,217.4
14.946882009506226,217.4
14.980008125305176,217.4
15.015280961990356,217.4
15.046612977981567,217.4
15.078526020050049,217.4
15.11517596244812,217.4
15.14842700958252,217.4
15.180016994476318,217.4
15.216284036636353,217.4
15.249032974243164,217.4
15.280673027038574,217.4
15.34862494468689,217.4
15.381595134735107,217.4
15.412280082702637,217.4
15.448171138763428,217.4
15.480417966842651,217.4
15.51301908493042,217.4
15.549507141113281,217.4
15.580316066741943,217.8
15.612834930419922,217.8
15.64820909500122,217.0
15.680388927459717,217.0
15.715424060821533,217.0
15.747436046600342,217.0
15.780832052230835,217.0
15.812693119049072,217.0
15.848973989486694,217.0
15.87847900390625,217.0
15.91079592704773,217.0
15.947257995605469,217.0
16.013576984405518,217.0
16.046658992767334,217.0
16.07878613471985,217.0
16.111567974090576,217.0
16.147741079330444,217.0
16.179532051086426,217.0
16.210602045059204,217.0
16.246633052825928,217.0
16.281096935272217,217.0
16.311187028884888,217.0
16.34659504890442,217.0
16.378749132156372,217.0
16.411746978759766,217.0
16.448424100875854,217.0
16.47872495651245,217.0
16.510645151138306,217.0
16.547577142715454,217.0
16.5797119140625,217.0
16.611101150512695,217.0
16.646898984909058,217.0
16.711205005645752,217.0
16.744369983673096,217.0
16.7791690826416,217.0
16.811223030090332,217.0
16.879125118255615,217.0
16.911081075668335,217.0
16.942862033843994,217.0
16.979823112487793,217.0
17.01100492477417,217.0
17.042530059814453,217.0
17.111172914505005,217.0
17.14419412612915,217.7
17.178652048110962,217.7
17.21197509765625,217.7
17.244343996047974,217.7
17.280940055847168,217.7
17.31109309196472,217.7
17.34332299232483,217.7
17.411057949066162,217.7
17.44273805618286,217.7
17.478872060775757,217.7
17.544044017791748,217.7
17.579936981201172,217.7
17.611304998397827,217.7
17.64263105392456,217.7
17.678924083709717,217.7
17.711920022964478,217.7
17.74289298057556,217.7
17.778566122055054,217.7
17.811161994934082,217.7
17.843085050582886,217.7
17.878541946411133,217.7
17.911005973815918,217.7
17.943385124206543,217.7
17.978945016860962,217.7
18.01108694076538,217.7
18.043071031570435,217.7
18.07488203048706,217.7
18.14307403564453,217.7
18.175517082214355,217.7
18.21069097518921,217.7
18.274667024612427,217.7
18.31047511100769,217.7
18.343825101852417,217.7
18.376667976379395,217.7
18.410993099212646,217.7
18.4425950050354,217.7
18.475507974624634,217.7
18.511255025863647,217.7
18.54416799545288,217.7
18.57565999031067,217.9
