Time [s],Power [W]
0.3598790168762207,57.7
0.394183874130249,57.7
0.4328799247741699,57.7
0.4654510021209717,57.7
0.5057408809661865,57.7
0.5560688972473145,57.7
0.5865960121154785,57.7
0.6273849010467529,57.7
0.679919958114624,57.7
0.7087388038635254,57.7
0.8296148777008057,57.7
0.9495549201965332,57.7
0.98819899559021,57.7
1.067180871963501,57.7
1.1543488502502441,57.7
1.1878910064697266,57.7
1.2704808712005615,57.7
1.304271936416626,57.7
1.3920838832855225,57.7
1.4278228282928467,57.7
1.467864990234375,57.7
1.5184788703918457,57.7
1.5454158782958984,57.7
1.5897839069366455,57.7
1.6641368865966797,57.7
1.7079339027404785,57.7
1.7551939487457275,57.7
1.7875869274139404,57.7
1.8273448944091797,57.7
1.87577486038208,57.7
1.9070069789886475,57.7
1.9492499828338623,57.7
1.991999864578247,57.7
2.0255799293518066,57.7
2.068431854248047,57.7
2.1098740100860596,57.7
2.147343873977661,57.7
2.1948928833007812,59.8
2.2319769859313965,59.8
2.2671358585357666,59.8
2.3089048862457275,59.8
2.3517630100250244,59.8
2.3930068016052246,59.8
2.431419849395752,59.8
2.477268934249878,59.8
2.512244939804077,59.8
2.5496997833251953,59.8
2.597234010696411,59.8
2.6307179927825928,59.8
2.6710588932037354,59.8
2.713009834289551,59.8
2.7503650188446045,59.8
2.794858932495117,59.8
2.839162826538086,59.8
2.871553897857666,59.8
2.912576913833618,59.8
2.9643948078155518,59.8
2.990248918533325,59.8
3.0310258865356445,59.8
3.074988842010498,59.8
3.1095328330993652,59.8
3.1506409645080566,59.8
3.1997618675231934,59.8
3.2289628982543945,59.8
3.271998882293701,59.8
3.3176558017730713,59.8
3.353120803833008,59.8
3.3894009590148926,59.8
3.438900947570801,59.8
3.4714009761810303,59.8
3.511323928833008,59.8
3.5598700046539307,59.8
3.5904428958892822,59.8
3.6766178607940674,58.7
3.708678960800171,58.7
3.7519478797912598,58.7
3.7992119789123535,58.7
3.83217191696167,58.7
3.8732969760894775,58.7
3.922902822494507,58.7
3.9505419731140137,58.7
3.9929468631744385,58.7
4.039409875869751,58.7
4.069941997528076,58.7
4.111056804656982,58.7
4.156312942504883,58.7
4.190899848937988,58.7
4.232358932495117,58.7
4.275573015213013,58.7
4.3106689453125,58.7
4.350376844406128,58.7
4.396945953369141,58.7
4.430310964584351,58.7
4.474756956100464,58.7
4.5173468589782715,58.7
4.549072980880737,58.7
4.593854904174805,58.7
4.638993978500366,58.7
4.670614957809448,58.7
4.7125279903411865,58.7
4.754773855209351,58.7
4.7920989990234375,58.7
4.831133842468262,58.7
4.876786947250366,58.7
4.912393808364868,58.7
4.955300807952881,58.7
5.003576993942261,58.7
5.034345865249634,58.7
5.074358940124512,58.7
5.1247007846832275,58.7
5.194969892501831,58.6
5.241841793060303,58.6
5.273685932159424,58.6
5.318723917007446,58.6
